# Energy(GeV) Height(cm) Zenith(deg) Weights
1.122018e+03 1.128000e+07 85.000000 2.487130e-15
1.412538e+03 1.128000e+07 85.000000 1.135071e-15
1.778279e+03 1.128000e+07 85.000000 5.136852e-16
2.238721e+03 1.128000e+07 85.000000 2.306022e-16
2.818383e+03 1.128000e+07 85.000000 1.027384e-16
3.548134e+03 1.128000e+07 85.000000 4.547766e-17
4.466836e+03 1.128000e+07 85.000000 2.003902e-17
5.623413e+03 1.128000e+07 85.000000 8.795981e-18
7.079458e+03 1.128000e+07 85.000000 3.847635e-18
8.912509e+03 1.128000e+07 85.000000 1.680088e-18
1.122018e+04 1.128000e+07 85.000000 7.322103e-19
1.412538e+04 1.128000e+07 85.000000 3.188075e-19
1.778279e+04 1.128000e+07 85.000000 1.386999e-19
2.238721e+04 1.128000e+07 85.000000 6.025643e-20
2.818383e+04 1.128000e+07 85.000000 2.613207e-20
3.548134e+04 1.128000e+07 85.000000 1.131025e-20
4.466836e+04 1.128000e+07 85.000000 4.884731e-21
5.623413e+04 1.128000e+07 85.000000 2.103998e-21
7.079458e+04 1.128000e+07 85.000000 9.041911e-22
8.912509e+04 1.128000e+07 85.000000 3.874369e-22
1.122018e+05 1.128000e+07 85.000000 1.654669e-22
1.412538e+05 1.128000e+07 85.000000 7.033185e-23
1.778279e+05 1.128000e+07 85.000000 2.979768e-23
2.238721e+05 1.128000e+07 85.000000 1.258123e-23
2.818383e+05 1.128000e+07 85.000000 5.293613e-24
3.548134e+05 1.128000e+07 85.000000 2.221637e-24
4.466836e+05 1.128000e+07 85.000000 9.289431e-25
5.623413e+05 1.128000e+07 85.000000 3.877526e-25
7.079458e+05 1.128000e+07 85.000000 1.617132e-25
8.912509e+05 1.128000e+07 85.000000 6.765617e-26
1.122018e+06 1.128000e+07 85.000000 2.846750e-26
1.412538e+06 1.128000e+07 85.000000 1.209115e-26
1.778279e+06 1.128000e+07 85.000000 5.215606e-27
2.238721e+06 1.128000e+07 85.000000 2.293555e-27
2.818383e+06 1.128000e+07 85.000000 1.028542e-27
3.548134e+06 1.128000e+07 85.000000 4.708315e-28
4.466836e+06 1.128000e+07 85.000000 2.195681e-28
5.623413e+06 1.128000e+07 85.000000 1.040965e-28
7.079458e+06 1.128000e+07 85.000000 4.990329e-29
8.912509e+06 1.128000e+07 85.000000 2.420788e-29
1.122018e+03 1.046282e+07 85.000000 4.350252e-15
1.412538e+03 1.046282e+07 85.000000 2.032738e-15
1.778279e+03 1.046282e+07 85.000000 9.388929e-16
2.238721e+03 1.046282e+07 85.000000 4.290807e-16
2.818383e+03 1.046282e+07 85.000000 1.942311e-16
3.548134e+03 1.046282e+07 85.000000 8.721501e-17
4.466836e+03 1.046282e+07 85.000000 3.892440e-17
5.623413e+03 1.046282e+07 85.000000 1.728159e-17
7.079458e+03 1.046282e+07 85.000000 7.635787e-18
8.912509e+03 1.046282e+07 85.000000 3.363241e-18
1.122018e+04 1.046282e+07 85.000000 1.476588e-18
1.412538e+04 1.046282e+07 85.000000 6.468871e-19
1.778279e+04 1.046282e+07 85.000000 2.828477e-19
2.238721e+04 1.046282e+07 85.000000 1.233643e-19
2.818383e+04 1.046282e+07 85.000000 5.365639e-20
3.548134e+04 1.046282e+07 85.000000 2.326770e-20
4.466836e+04 1.046282e+07 85.000000 1.005874e-20
5.623413e+04 1.046282e+07 85.000000 4.332535e-21
7.079458e+04 1.046282e+07 85.000000 1.859981e-21
8.912509e+04 1.046282e+07 85.000000 7.952744e-22
1.122018e+05 1.046282e+07 85.000000 3.385242e-22
