# Energy(GeV) Height(cm) Zenith(deg) Weights
1.122018e+03 1.128000e+07 85.000000 1.060070e-07
1.412538e+03 1.128000e+07 85.000000 7.049335e-08
1.778279e+03 1.128000e+07 85.000000 4.644618e-08
2.238721e+03 1.128000e+07 85.000000 3.034024e-08
2.818383e+03 1.128000e+07 85.000000 1.966548e-08
3.548134e+03 1.128000e+07 85.000000 1.265158e-08
4.466836e+03 1.128000e+07 85.000000 8.082355e-09
5.623413e+03 1.128000e+07 85.000000 5.131223e-09
7.079458e+03 1.128000e+07 85.000000 3.241017e-09
8.912509e+03 1.128000e+07 85.000000 2.037308e-09
1.122018e+04 1.128000e+07 85.000000 1.275056e-09
1.412538e+04 1.128000e+07 85.000000 7.949717e-10
1.778279e+04 1.128000e+07 85.000000 4.939782e-10
2.238721e+04 1.128000e+07 85.000000 3.061378e-10
2.818383e+04 1.128000e+07 85.000000 1.892895e-10
3.548134e+04 1.128000e+07 85.000000 1.168314e-10
4.466836e+04 1.128000e+07 85.000000 7.204759e-11
5.623413e+04 1.128000e+07 85.000000 4.442864e-11
7.079458e+04 1.128000e+07 85.000000 2.741090e-11
8.912509e+04 1.128000e+07 85.000000 1.694042e-11
1.122018e+05 1.128000e+07 85.000000 1.049209e-11
1.412538e+05 1.128000e+07 85.000000 6.519564e-12
1.778279e+05 1.128000e+07 85.000000 4.067567e-12
2.238721e+05 1.128000e+07 85.000000 2.549087e-12
2.818383e+05 1.128000e+07 85.000000 1.605767e-12
3.548134e+05 1.128000e+07 85.000000 1.015322e-12
4.466836e+05 1.128000e+07 85.000000 6.453872e-13
5.623413e+05 1.128000e+07 85.000000 4.117374e-13
7.079458e+05 1.128000e+07 85.000000 2.631936e-13
8.912509e+05 1.128000e+07 85.000000 1.682244e-13
1.122018e+06 1.128000e+07 85.000000 1.072138e-13
1.412538e+06 1.128000e+07 85.000000 6.808389e-14
1.778279e+06 1.128000e+07 85.000000 4.279679e-14
2.238721e+06 1.128000e+07 85.000000 2.659174e-14
2.818383e+06 1.128000e+07 85.000000 1.625024e-14
3.548134e+06 1.128000e+07 85.000000 9.733020e-15
4.466836e+06 1.128000e+07 85.000000 5.699492e-15
5.623413e+06 1.128000e+07 85.000000 3.240935e-15
7.079458e+06 1.128000e+07 85.000000 1.776010e-15
8.912509e+06 1.128000e+07 85.000000 9.323945e-16
1.122018e+03 1.046282e+07 85.000000 1.868503e-07
1.412538e+03 1.046282e+07 85.000000 1.270742e-07
1.778279e+03 1.046282e+07 85.000000 8.537513e-08
2.238721e+03 1.046282e+07 85.000000 5.673327e-08
2.818383e+03 1.046282e+07 85.000000 3.733466e-08
3.548134e+03 1.046282e+07 85.000000 2.434480e-08
